year,mono-module ($/Wp),mono-cell ($/Wp),mono-wafer ($/Wp),poly-Si ($/Wp)
2015.61,0.685651611,0.331625837,0.220541724,0.08050337
2015.615,0.685929035,0.331632719,0.220490549,0.080512447
2015.61847955,0.671985319,0.33160761,0.219992586,0.080510355
2015.61847955,0.671985319,0.331671274,0.219481905,0.080510478
2015.61850694,0.67914523,0.331581549,0.219399562,0.080510667
2015.64142742,0.670558815,0.330786413,0.217779201,0.080510545
2015.65518847,0.667698137,0.329977759,0.216746246,0.080510593
2015.65518847,0.667698137,0.329232307,0.216539854,0.080510577
2015.66898787,0.674861335,0.328412045,0.216701043,0.080510578
2015.66899335,0.676293317,0.327703895,0.216495737,0.080510616
2015.66899335,0.676293317,0.327741307,0.215672781,0.08051044
2015.67820756,0.684887402,0.329143567,0.215788263,0.080510984
2015.67820756,0.684887402,0.330958226,0.214564746,0.080509854
2015.67820756,0.684887402,0.33186859,0.213528017,0.080510561
2015.67822947,0.690615331,0.331428528,0.213770667,0.080516415
2015.69,0.692265338,0.330668838,0.213736299,0.08048275
2015.69201244,0.693482582,0.330795422,0.213812002,0.080597758
2015.695,0.692884128,0.329462884,0.21312422,0.08031279
2015.7,0.694556097,0.328534487,0.212681514,0.07952468
2015.705,0.696897651,0.32881555,0.212788511,0.079529925
2015.71,0.698918602,0.328738291,0.212785507,0.079543106
2015.715,0.699477499,0.328680796,0.212846389,0.079639242
2015.72,0.699572354,0.329432689,0.212079821,0.07930396
2015.725,0.700406091,0.329778314,0.211822219,0.078541569
2015.73,0.700417547,0.329753034,0.211578655,0.078577625
2015.735,0.700363115,0.329630617,0.210826095,0.07860905
2015.74,0.70039368,0.328788853,0.210892257,0.078587018
2015.745,0.700378976,0.328885845,0.210126464,0.078595647
2015.75,0.700388403,0.327745916,0.20990305,0.078593297
2015.755,0.700395049,0.326608252,0.209626559,0.078593632
2015.76,0.700305385,0.326895462,0.208868051,0.078593726
2015.765,0.700682911,0.326851968,0.208937707,0.078593631
2015.77,0.699479908,0.326145201,0.208957787,0.078593673
2015.775,0.697295096,0.325190623,0.208935503,0.07859366
2015.78,0.697484252,0.324923739,0.208952517,0.078593663
2015.785,0.697520003,0.324766806,0.20893162,0.078593662
2015.79,0.697566895,0.323948958,0.208947337,0.078593665
2015.795,0.697202237,0.3239422,0.209025184,0.078593653
2015.8,0.696329832,0.323884543,0.208281854,0.078593684
2015.805,0.695557649,0.324349356,0.207974514,0.078593644
2015.81,0.694720409,0.325067383,0.207794565,0.078593576
2015.815,0.694576705,0.324860243,0.206987032,0.078594217
2015.82514186,0.693514355,0.324040777,0.207003144,0.078591674
2015.83889196,0.687789713,0.323891545,0.207043731,0.078598642
2015.84349906,0.692086755,0.324012774,0.207026602,0.078586967
2015.84349906,0.692086755,0.323878309,0.207012279,0.078583254
2015.84808973,0.692087851,0.324061886,0.207049747,0.078694593
2015.84808973,0.692087851,0.324892428,0.207062687,0.078026624
2015.85724368,0.684930131,0.324777113,0.206289159,0.07760721
2015.85730394,0.700681935,0.32599332,0.205952324,0.077521267
2015.85730394,0.700681935,0.326994156,0.206171607,0.076686763
2015.86190009,0.702115013,0.32689056,0.205928863,0.076632475
2015.86645241,0.692092233,0.3277731,0.205119457,0.076699972
2015.87108691,0.703549187,0.328649596,0.205069821,0.076668719
2015.87110334,0.707845133,0.328748129,0.205131364,0.076678833
2015.87570497,0.710710193,0.328913792,0.2051035,0.076676494
2015.87571592,0.713574158,0.328363614,0.205111073,0.076675137
2015.8757214,0.71500614,0.326804809,0.205110648,0.076684764
2015.88031755,0.716439218,0.326914163,0.20511517,0.07665006
2015.88148165,0.720735438,0.325560872,0.20508278,0.076738849
2015.88493561,0.723600225,0.324705804,0.205203182,0.076609757
2015.88495204,0.727896171,0.324970623,0.204872899,0.075774596
2015.884963,0.730760136,0.324913755,0.204106734,0.075761964
2015.88609423,0.726464463,0.324924586,0.204136808,0.075221255
2015.88726929,0.733624648,0.324849429,0.204141512,0.074700743
2015.88957558,0.73648916,0.325316024,0.204243554,0.074701184
2015.89189283,0.742217637,0.326283015,0.20386244,0.07386194
2015.89767499,0.753674864,0.326863322,0.203126777,0.072982817
2015.89878979,0.745083245,0.326821573,0.203184966,0.072789384
2015.89879527,0.746515227,0.327494077,0.203206329,0.072839962
2015.8988117,0.750811174,0.328464729,0.203187671,0.072880501
2015.90341333,0.753676234,0.328771179,0.203193853,0.072839995
2015.90345168,0.763700109,0.328843463,0.203195747,0.07200777
2015.90806974,0.770861116,0.329716011,0.203193178,0.071910289
2015.91261658,0.759406354,0.330607601,0.203172195,0.071505168
2015.91262206,0.760838336,0.330508233,0.20329666,0.070826789
2015.91262206,0.760838336,0.331490824,0.202786707,0.070934999
2015.91264397,0.766566265,0.332713545,0.202142448,0.070933677
2015.91264397,0.766566265,0.33261413,0.202243266,0.070918749
2015.91721273,0.760839432,0.333483289,0.20224176,0.070935306
2015.92150758,0.683513488,0.333016128,0.20223011,0.070907659
2015.92152401,0.687809434,0.332093806,0.202236792,0.070948066
2015.92154593,0.693537363,0.331289169,0.202234395,0.070971393
2015.92156236,0.69783331,0.330644125,0.202234993,0.070168818
2015.9215788,0.702129256,0.330698648,0.202234945,0.069976458
2015.92177053,0.752248634,0.329949448,0.202234788,0.069682676
2015.92177601,0.753680616,0.329613212,0.202235326,0.068931379
2015.92284698,0.733633139,0.329739622,0.202233816,0.069003905
2015.92289081,0.745088997,0.329703784,0.202236697,0.069021768
2015.92510397,0.723609811,0.329709271,0.202235832,0.069002719
2015.92597773,0.652010975,0.329718088,0.202216651,0.069011073
2015.92598869,0.654874939,0.329677814,0.202315542,0.069008833
2015.92601608,0.66203485,0.32980484,0.201931542,0.069009007
2015.92602703,0.664898814,0.32951477,0.201050297,0.069007597
2015.92604895,0.670626743,0.328746071,0.200296955,0.069016965
2015.92604895,0.670626743,0.328873346,0.199541072,0.068983058
2015.92606538,0.67492269,0.32745239,0.198630925,0.069067849
2015.92607634,0.677786654,0.326744945,0.198414788,0.068953223
2015.92608182,0.679218637,0.326602036,0.198194119,0.068116951
2015.92611468,0.68781053,0.325889496,0.197404038,0.068087634
2015.92614071,0.694612445,0.326759448,0.197436577,0.067588366
2015.92617494,0.703562334,0.326711931,0.197349976,0.066983717
2015.92619138,0.707858281,0.327795548,0.197961597,0.067109948
2015.92620781,0.712154228,0.328915871,0.198406922,0.067095404
2015.92628998,0.733633961,0.328784986,0.198523853,0.067086875
2015.92629546,0.735065943,0.329627999,0.200168049,0.067099307
2015.92631738,0.740793872,0.330538797,0.201913557,0.067076599
2015.92634477,0.747953783,0.33065477,0.202417456,0.067118634
2015.92826759,0.65057954,0.330908116,0.202040743,0.067096003
2015.92830046,0.659171433,0.331846368,0.202525717,0.066372704
2015.93054649,0.646284141,0.332581104,0.204141513,0.06544871
2015.930793,0.710723341,0.332636195,0.204208792,0.065100267
2015.93079848,0.712155323,0.332466738,0.204211336,0.065192901
2015.93080396,0.713587305,0.332982418,0.203779901,0.065173947
2015.93081492,0.71645127,0.333632669,0.203088816,0.065173741
2015.93083135,0.720747216,0.33353737,0.203206743,0.065176202
2015.93084779,0.725043163,0.333536303,0.203259969,0.065174894
2015.93085326,0.726475145,0.333548905,0.202576377,0.06517525
2015.93086422,0.72933911,0.33354148,0.20186279,0.06517531
2015.93513168,0.644853255,0.333545471,0.200744947,0.065175474
2015.93513168,0.644853255,0.333542493,0.199241099,0.065173365
2015.94,0.648887225,0.333540359,0.198535345,0.065182305
2015.945,0.642159131,0.333570062,0.196907194,0.065156576
